"analysisby","analysis_var0","analysis_var1","se.analysis_var0","se.analysis_var1","DEff.analysis_var0","DEff.analysis_var1","question","byvar","var"
"1",0.985679098034806,0.0143209019651939,0.00155533975960649,0.00155533975960649,1.2476660622363,1.2476660622363,"q37a","q35","1"
"2",0.980746933921173,0.0192530660788276,0.0019136800084543,0.0019136800084543,1.17578974386414,1.17578974386414,"q37a","q35","2"
"3",0.971964127713632,0.0280358722863679,0.00394104875815967,0.00394104875815967,1.27465572473853,1.27465572473853,"q37a","q35","3"
"4",0.959064540160478,0.0409354598395215,0.00554561295308389,0.00554561295308389,1.30410128737334,1.30410128737334,"q37a","q35","4"
"5",0.939139324084747,0.0608606759152525,0.00349199502575085,0.00349199502575085,1.32092910875841,1.32092910875841,"q37a","q35","5"
"1",0.767968131759307,0.232031868240693,0.00553171528366366,0.00553171528366366,1.25020875295298,1.25020875295298,"q37b","q35","1"
"2",0.722807451255046,0.277192548744954,0.00647618548617864,0.00647618548617864,1.26906034425842,1.26906034425842,"q37b","q35","2"
"3",0.717461258358466,0.282538741641534,0.0107408674819224,0.0107408674819224,1.27272873625032,1.27272873625032,"q37b","q35","3"
"4",0.711644424699037,0.288355575300963,0.0126307943542205,0.0126307943542205,1.29428418516135,1.29428418516135,"q37b","q35","4"
"5",0.693962276985211,0.306037723014789,0.00675929856682116,0.00675929856682116,1.33196100390544,1.33196100390544,"q37b","q35","5"
"1",0.928044330002143,0.0719556699978567,0.00333401634645368,0.00333401634645368,1.21186833856182,1.21186833856182,"q37c","q35","1"
"2",0.8867233216397,0.1132766783603,0.00450162619589126,0.00450162619589126,1.22308914100903,1.22308914100903,"q37c","q35","2"
"3",0.882144922319589,0.117855077680411,0.00759188875096289,0.00759188875096289,1.23978114859553,1.23978114859553,"q37c","q35","3"
"4",0.878763698890884,0.121236301109116,0.00901184348665767,0.00901184348665767,1.26906017391006,1.26906017391006,"q37c","q35","4"
"5",0.852844555555269,0.147155444444731,0.00510644655587412,0.00510644655587412,1.28644268228332,1.28644268228332,"q37c","q35","5"
"1",0.993786905092008,0.00621309490799177,0.00102283821969185,0.00102283821969185,1.23357730385529,1.23357730385529,"q37d","q35","1"
"2",0.990123777624024,0.00987622237597601,0.00137160342609823,0.00137160342609823,1.1663386311684,1.1663386311684,"q37d","q35","2"
"3",0.985160976468681,0.0148390235313194,0.00276673884935333,0.00276673884935333,1.17100138078606,1.17100138078606,"q37d","q35","3"
"4",0.976583645688221,0.0234163543117792,0.004273863918233,0.004273863918233,1.32975726579377,1.32975726579377,"q37d","q35","4"
"5",0.95782630666511,0.0421736933348903,0.00296654403873605,0.00296654403873605,1.34887677901222,1.34887677901222,"q37d","q35","5"
"1",0.991743287667604,0.00825671233239624,0.00119027951517189,0.00119027951517189,1.25963647485053,1.25963647485053,"q37e","q35","1"
"2",0.982307042821004,0.0176929571789962,0.00190824684631748,0.00190824684631748,1.27019181700003,1.27019181700003,"q37e","q35","2"
"3",0.979932831475722,0.0200671685242775,0.00328829667479829,0.00328829667479829,1.22968301641801,1.22968301641801,"q37e","q35","3"
"4",0.980107592171804,0.0198924078281964,0.00383151290913595,0.00383151290913595,1.25354289155438,1.25354289155438,"q37e","q35","4"
"5",0.954345047784384,0.0456549522156159,0.00307230900164651,0.00307230900164651,1.34132971223438,1.34132971223438,"q37e","q35","5"
"1",0.938907565151543,0.0610924348484566,0.00311975613571026,0.00311975613571026,1.23533502498867,1.23533502498867,"q37f","q35","1"
"2",0.927287246150662,0.0727127538493378,0.00373250764749184,0.00373250764749184,1.25263465050616,1.25263465050616,"q37f","q35","2"
"3",0.908587510695038,0.0914124893049623,0.00705421889396942,0.00705421889396942,1.33985919125247,1.33985919125247,"q37f","q35","3"
"4",0.906517386344116,0.0934826136558836,0.00819047091900187,0.00819047091900187,1.31786365594147,1.31786365594147,"q37f","q35","4"
"5",0.905214169610774,0.094785830389226,0.00434315752063929,0.0043431575206393,1.36117973354529,1.36117973354529,"q37f","q35","5"
"1",0.331972537984221,0.66802746201578,0.00614640159364705,0.00614640159364705,1.24022112118077,1.24022112118077,"q37g","q35","1"
"2",0.400948894612521,0.599051105387479,0.00706497224888293,0.00706497224888293,1.2598415120327,1.2598415120327,"q37g","q35","2"
"3",0.417237651188844,0.582762348811156,0.0118138523026705,0.0118138523026705,1.28363541802014,1.28363541802014,"q37g","q35","3"
"4",0.442042703454925,0.557957296545075,0.0139323446742477,0.0139323446742477,1.31021616218926,1.31021616218926,"q37g","q35","4"
"5",0.469706607531851,0.530293392468149,0.00728434036300786,0.00728434036300786,1.31897526120681,1.31897526120681,"q37g","q35","5"
